Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Walk, 4, 0, 1, 2, None, None
Strikeout, 3, 2, 0, 3, None, None
Strikeout, 2, 1, 1, 1, None, None
Lineout, 0, 0, 0, 0, 86.9, 21
Double, 2, 1, 0, 1, 96.2, 22
Strikeout, 3, 2, 1, 2, None, None
Groundout, 0, 0, 0, 0, 83.7, -18
Single, 0, 1, 0, 0, 95.2, 9
Flyout, 1, 0, 0, 0, 85.8, 28
Strikeout, 1, 2, 1, 0, None, None
Flyout, 3, 0, 1, 1, 97.5, 32
Field Error, 1, 1, 0, 0, 70.4, 18
Strikeout, 2, 1, 2, 0, None, None
Strikeout, 0, 1, 0, 2, None, None
Forceout, 1, 0, 0, 0, 97.2, -1
Walk, 4, 0, 0, 0, None, None
Walk, 4, 0, 0, 1, None, None
Flyout, 3, 2, 0, 1, 73.9, 46
Lineout, 2, 0, 2, 1, 84.5, 27
Groundout, 0, 0, 0, 1, 60.0, 13
GIDP, 0, 0, 1, 1, 76.7, 3
Strikeout, 2, 1, 1, 1, None, None
Walk, 4, 1, 0, 0, None, None
Groundout, 2, 1, 0, 0, 84.5, -23
Pop Out, 2, 0, 1, 0, 65.0, 58
Strikeout, 1, 1, 1, 1, None, None
Strikeout, 1, 0, 2, 1, None, None
Groundout, 1, 1, 0, 1, 70.1, -25
Flyout, 0, 0, 0, 0, 98.7, 24
Double, 3, 1, 1, 2, 102.6, 19
Strikeout, 2, 2, 0, 0, None, None
Groundout, 3, 1, 0, 1, 86.6, -15
Double, 2, 0, 0, 1, 94.7, 13
Walk, 4, 0, 0, 4, None, None
Groundout, 1, 0, 0, 2, 101.4, -14
Forceout, 0, 0, 0, 0, 89.2, -13
Groundout, 2, 0, 0, 1, 86.2, 1
Strikeout, 1, 1, 2, 0, None, None
Pop Out, 1, 1, 0, 0, None, None
Strikeout, 0, 2, 1, 0, None, None
GIDP, 2, 1, 1, 0, 73.5, 1
Strikeout, 1, 0, 3, 0, None, None
Single, 0, 0, 0, 0, 85.0, 17
Strikeout, 1, 1, 2, 0, None, None
Flyout, 1, 0, 0, 1, 80.7, 35
Groundout, 1, 0, 0, 0, 69.0, -20
Double, 0, 0, 0, 0, 105.7, 5
Strikeout, 2, 0, 1, 3, None, None
Flyout, 1, 1, 0, 0, 82.3, 40
Flyout, 1, 0, 0, 0, 73.4, 43
Lineout, 0, 1, 0, 0, 69.1, 17
Strikeout, 0, 2, 1, 0, None, None
Groundout, 1, 0, 2, 0, 58.2, -51
Groundout, 1, 0, 0, 0, None, None
Strikeout, 2, 1, 1, 1, None, None
Single, 0, 1, 0, 0, 98.2, -16
Strikeout, 0, 2, 0, 1, None, None
Single, 0, 1, 0, 0, 94.9, -19
Groundout, 0, 0, 0, 0, 75.2, -72
Groundout, 1, 1, 0, 0, 93.8, 2
Single, 2, 0, 1, 2, 98.3, 9
Flyout, 1, 0, 0, 0, 95.0, 28
Strikeout, 3, 1, 2, 0, None, None
