Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Strikeout, 0, 1, 2, 1, None, None
Walk, 4, 0, 0, 0, None, None
Single, 0, 0, 0, 0, 95.3, 7
Single, 1, 1, 1, 0, 84.1, 15
Pop Out, 0, 2, 0, 0, 62.7, 43
Groundout, 3, 1, 0, 0, 85.0, 4
Strikeout, 0, 0, 1, 3, None, None
Hit By Pitch, 1, 1, 0, 1, None, None
GIDP, 1, 1, 1, 0, 86.2, -18
Groundout, 2, 0, 0, 0, 100.2, 3
Lineout, 1, 0, 0, 1, 90.9, 22
Flyout, 2, 1, 0, 0, 92.2, 39
Single, 1, 0, 0, 0, None, None
Groundout, 2, 0, 0, 1, None, None
Groundout, 2, 0, 0, 1, 79.5, -32
Groundout, 0, 0, 0, 0, 97.0, 1
Groundout, 1, 0, 0, 0, 78.2, -12
Forceout, 1, 0, 0, 0, 82.0, 7
Flyout, 0, 1, 0, 0, 93.8, 27
Strikeout, 1, 0, 2, 1, None, None
Flyout, 2, 1, 1, 1, 91.5, 26
Single, 0, 0, 0, 0, 99.8, None
Pop Out, 1, 0, 0, 1, None, None
Strikeout, 2, 1, 1, 2, None, None
Flyout, 1, 0, 0, 0, 92.3, 20
Strikeout, 1, 0, 1, 2, None, None
Double, 1, 0, 1, 1, 94.9, 11
Single, 0, 0, 0, 0, 101.8, 4
Double, 3, 0, 0, 2, 102.6, 24
Single, 3, 1, 1, 0, 95.0, 15
Strikeout, 0, 2, 1, 0, None, None
Single, 0, 1, 0, 2, 87.5, 13
Flyout, 3, 1, 0, 2, 93.2, 24
Groundout, 2, 1, 0, 2, 59.3, -73
Single, 0, 0, 0, 0, 93.7, 2
Double, 2, 0, 0, 0, 93.5, -7
Strikeout, 3, 0, 2, 2, None, None
Groundout, 2, 0, 0, 0, 77.5, -9
Single, 0, 0, 0, 0, 93.7, 7
Single, 2, 1, 0, 0, 96.5, 10
Double, 2, 1, 0, 0, 100.4, 13
Lineout, 0, 0, 0, 1, 61.8, 29
Flyout, 3, 2, 0, 1, 92.2, 35
Flyout, 0, 0, 0, 2, 85.6, 36
Groundout, 0, 1, 0, 1, 89.9, -7
Walk, 4, 0, 1, 0, None, None
Flyout, 1, 1, 0, 0, 95.6, 29
Groundout, 0, 0, 0, 1, 89.8, -28
Strikeout, 0, 0, 3, 1, None, None
Flyout, 1, 0, 0, 1, 89.0, 35
Single, 0, 0, 0, 1, 95.6, None
Walk, 4, 0, 1, 1, None, None
Triple, 1, 1, 0, 1, 96.9, 29
Double Play, 0, 0, 0, 0, 86.8, 47
Strikeout, 2, 1, 1, 1, None, None
Single, 0, 1, 0, 1, 90.6, 2
Double, 1, 2, 0, 1, 102.5, 25
Groundout, 2, 0, 0, 0, 102.0, -6
Intent Walk, 0, 0, 0, 0, None, None
Single, 1, 0, 0, 2, None, None
Groundout, 2, 1, 0, 3, 89.7, -23
Groundout, 2, 2, 0, 2, 91.7, -2
Forceout, 0, 0, 0, 0, 94.0, -5
Single, 3, 0, 0, 5, 100.9, 15
Groundout, 3, 1, 0, 1, 85.0, -20
Walk, 4, 0, 1, 0, None, None
Walk, 4, 2, 0, 0, None, None
Single, 1, 0, 2, 0, 93.1, 8
Single, 3, 0, 2, 2, 100.2, 12
Walk, 4, 2, 0, 1, None, None
Groundout, 1, 1, 0, 0, 57.4, -35
Strikeout, 1, 2, 0, 5, None, None
Lineout, 1, 0, 0, 0, 97.7, 23
Flyout, 1, 0, 0, 0, 84.0, 54
Lineout, 2, 1, 1, 1, 91.2, 26
Single, 1, 0, 2, 1, 97.7, 15
Lineout, 2, 0, 0, 0, 82.6, 28
Flyout, 0, 0, 0, 0, 82.4, 48
Walk, 4, 0, 1, 0, None, None
Strikeout, 0, 2, 0, 1, None, None
Single, 1, 2, 0, 1, 94.9, 6
Forceout, 0, 0, 0, 0, None, None
Walk, 4, 1, 0, 0, None, None
Flyout, 1, 0, 0, 0, 91.8, 32
Double, 1, 0, 0, 0, 82.7, 24
Walk, 4, 1, 0, 0, None, None
Single, 1, 0, 1, 1, 99.1, 6
Walk, 4, 1, 0, 0, None, None
Flyout, 1, 1, 1, 0, 82.5, 43
GIDP, 2, 0, 1, 0, None, None
Pop Out, 2, 2, 0, 1, 63.4, 38
