Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Groundout, 0, 0, 0, 0, 62.5, -50
Double, 2, 0, 0, 0, 108.1, 20
Single, 2, 0, 0, 0, 101.9, 2
Sac Fly, 1, 0, 0, 4, 89.4, 29
Lineout, 2, 1, 0, 2, 101.4, 18
Lineout, 1, 0, 0, 1, 88.6, 23
Strikeout, 0, 0, 3, 0, None, None
Groundout, 1, 0, 0, 0, 99.9, -4
Strikeout, 1, 1, 2, 0, None, None
Single, 3, 0, 1, 2, 96.6, -1
Forceout, 2, 0, 0, 0, None, None
Strikeout, 1, 1, 1, 2, None, None
Single, 2, 1, 0, 0, 102.1, 7
Single, 0, 1, 0, 0, 101.5, 14
Groundout, 0, 0, 0, 1, None, None
Strikeout, 2, 0, 2, 5, None, None
Groundout, 0, 1, 0, 1, 93.3, -1
Groundout, 2, 1, 1, 0, None, None
Strikeout, 1, 1, 1, 1, None, None
Single, 2, 0, 1, 2, 101.3, 4
Groundout, 0, 0, 0, 0, 93.8, -6
Single, 2, 1, 0, 0, 99.8, 14
Groundout, 2, 0, 1, 4, 69.9, 1
Walk, 4, 0, 0, 0, None, None
Strikeout, 1, 1, 2, 0, None, None
Walk, 4, 1, 0, 0, None, None
Single, 0, 0, 0, 0, 101.7, 10
Groundout, 1, 1, 0, 2, 79.8, -26
Strikeout, 1, 0, 2, 1, None, None
Forceout, 0, 0, 1, 0, 64.1, -34
Groundout, 0, 0, 0, 0, 86.4, -20
Walk, 4, 0, 1, 2, None, None
Lineout, 2, 1, 1, 1, 89.4, 9
Sac Fly, 1, 1, 0, 0, 88.8, 40
Home Run, 0, 0, 0, 0, 99.0, 32
Strikeout, 2, 0, 2, 2, None, None
Home Run, 1, 1, 0, 0, 108.5, 24
Strikeout, 1, 3, 0, 1, None, None
Flyout, 0, 0, 0, 0, 90.7, 41
Groundout, 0, 0, 0, 0, 73.1, 1
Forceout, 0, 1, 1, 1, 81.3, -2
Groundout, 2, 0, 0, 1, 83.8, -5
Strikeout, 0, 1, 2, 0, None, None
Flyout, 0, 0, 0, 0, 78.1, 36
Single, 2, 0, 0, 1, 103.7, -5
Strikeout, 2, 1, 1, 2, None, None
Single, 3, 1, 1, 1, 110.2, 13
Single, 2, 0, 1, 1, None, None
Hit By Pitch, 1, 0, 0, 1, None, None
Groundout, 3, 1, 0, 1, 83.5, -42
Forceout, 2, 1, 0, 1, 90.9, -29
Forceout, 2, 1, 0, 1, 90.9, -29
Pop Out, 2, 1, 0, 2, 62.7, 55
Pop Out, 1, 1, 0, 0, None, None
Strikeout, 2, 0, 2, 2, None, None
Flyout, 1, 0, 1, 1, 80.2, 42
Strikeout, 3, 0, 2, 3, None, None
Groundout, 0, 0, 0, 0, 85.5, -19
Strikeout, 0, 1, 2, 0, None, None
Strikeout, 3, 2, 1, 0, None, None
Flyout, 0, 0, 0, 0, 88.9, 44
Strikeout, 0, 1, 2, 0, None, None
Single, 2, 0, 1, 0, 96.0, 4
Strikeout, 0, 2, 1, 0, None, None
Walk, 4, 0, 1, 2, None, None
Groundout, 1, 0, 1, 0, 105.8, -3
Strikeout, 2, 0, 2, 1, None, None
Walk, 4, 0, 0, 0, None, None
Hit By Pitch, 0, 0, 0, 0, None, None
Strikeout, 2, 1, 2, 1, None, None
Groundout, 0, 0, 0, 0, 101.2, -16
Strikeout, 3, 0, 1, 3, None, None
Pop Out, 1, 1, 0, 0, 87.9, 64
GIDP, 1, 0, 0, 0, 88.8, 3
Strikeout, 0, 1, 2, 0, None, None
Lineout, 1, 0, 1, 2, 87.8, 22
Triple, 0, 0, 0, 1, 98.2, 22
Walk, 4, 1, 0, 0, None, None
Double, 0, 0, 0, 0, 107.5, 14
Strikeout, 2, 1, 1, 2, None, None
Groundout, 3, 1, 1, 0, 105.7, -7
Single, 2, 0, 0, 0, 107.7, 12
Flyout, 2, 2, 0, 0, 91.9, 31
Flyout, 2, 0, 0, 2, 79.0, 34
