Outcome, Balls, Called_Strikes, Whiffs, Fouls, EV, LA, Sprint_Speed
Single, 0, 0, 0, 1, 83.9, -3, 28.7
Groundout, 2, 0, 0, 1, 97.8, -18, 28.7
Flyout, 1, 1, 0, 0, 101.2, 26, 28.7
Double, 0, 0, 0, 0, 97.6, 3, 28.7
Single, 2, 1, 0, 2, 101.3, -3, 28.7
Flyout, 2, 1, 0, 0, 88.0, 38, 28.7
Flyout, 0, 2, 0, 0, 88.2, 34, 28.7
Strikeout, 0, 1, 1, 1, None, None, 28.7
Groundout, 1, 1, 1, 0, 86.3, -59, 28.7
Groundout, 0, 2, 0, 0, 79.8, -35, 28.7
Single, 2, 1, 0, 2, 74.4, -9, 28.7
Single, 3, 2, 0, 0, 95.1, 9, 28.7
GIDP, 0, 0, 0, 0, 59.7, -35, 28.7
Sac Fly, 1, 1, 1, 0, 86.4, 43, 28.7
Groundout, 1, 1, 0, 0, 101.7, -4, 28.7
Strikeout, 1, 2, 1, 0, None, None, 28.7
Strikeout, 2, 1, 0, 3, None, None, 28.7
Single, 0, 2, 0, 0, 97.3, -8, 28.7
Single, 1, 1, 0, 0, 99.2, 9, 28.7
Groundout, 1, 1, 0, 1, 54.8, -66, 28.7
Field Error, 2, 0, 1, 1, 90.5, 31, 28.7
Sac Fly, 1, 0, 0, 1, 86.9, 30, 28.7
Fielders Choice Out, 1, 1, 0, 0, 84.3, -2, 28.7
Strikeout, 1, 2, 1, 0, None, None, 28.7
Walk, 4, 2, 0, 2, None, None, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Groundout, 2, 1, 0, 2, 95.4, -8, 28.7
Forceout, 2, 0, 0, 0, 88.4, -55, 28.7
Lineout, 2, 1, 0, 0, 101.2, 18, 28.7
Strikeout, 1, 0, 1, 0, None, None, 28.7
Forceout, 2, 0, 2, 0, 70.0, 8, 28.7
Walk, 4, 0, 0, 0, None, None, 28.7
Groundout, 2, 2, 0, 4, 94.1, -7, 28.7
Flyout, 1, 1, 0, 1, 77.0, 47, 28.7
Groundout, 3, 0, 0, 1, 96.1, 2, 28.7
Strikeout, 1, 2, 1, 2, None, None, 28.7
Lineout, 1, 2, 0, 1, 97.5, 16, 28.7
Pop Out, 1, 1, 0, 0, 84.0, 70, 28.7
Groundout, 3, 2, 0, 0, 64.4, -21, 28.7
Strikeout, 0, 1, 1, 1, None, None, 28.7
Single, 0, 0, 0, 0, 100.4, 4, 28.7
Single, 0, 0, 0, 0, 84.0, 11, 28.7
Flyout, 1, 0, 1, 0, 82.8, 29, 28.7
Single, 2, 1, 0, 0, 70.8, -48, 28.7
Strikeout, 2, 2, 1, 1, None, None, 28.7
Double, 0, 0, 0, 0, 104.2, 6, 28.7
Groundout, 0, 1, 0, 0, 72.4, 3, 28.7
Lineout, 1, 0, 0, 0, 97.9, 18, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Groundout, 1, 2, 0, 0, 82.4, -18, 28.7
Walk, 4, 1, 0, 2, None, None, 28.7
Strikeout, 2, 2, 1, 0, None, None, 28.7
Lineout, 1, 0, 0, 0, 103.8, 18, 28.7
Groundout, 1, 1, 1, 0, 84.6, -14, 28.7
Strikeout, 1, 1, 1, 2, None, None, 28.7
Groundout, 2, 2, 0, 0, 97.8, -2, 28.7
Lineout, 3, 2, 0, 7, 100.4, 13, 28.7
Lineout, 0, 1, 0, 1, 93.4, 20, 28.7
Strikeout, 0, 2, 1, 0, None, None, 28.7
Single, 0, 0, 0, 0, 84.0, 11, 28.7
Hit By Pitch, 0, 1, 1, 1, None, None, 28.7
Strikeout, 2, 0, 1, 6, None, None, 28.7
Lineout, 0, 0, 0, 0, 98.5, 7, 28.7
Pop Out, 2, 1, 0, 2, 72.3, 70, 28.7
Single, 0, 1, 0, 0, 93.5, 13, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Strikeout, 1, 1, 1, 1, None, None, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Lineout, 1, 0, 0, 0, 95.0, 20, 28.7
Single, 3, 2, 0, 0, 101.1, 7, 28.7
Field Error, 1, 1, 0, 0, 73.7, -18, 28.7
Hit By Pitch, 2, 1, 0, 1, None, None, 28.7
Strikeout, 2, 2, 1, 0, None, None, 28.7
GIDP, 1, 0, 0, 3, 80.0, -20, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Single, 0, 0, 0, 0, 106.7, 7, 28.7
Single, 0, 0, 0, 1, 98.5, 3, 28.7
Single, 2, 0, 0, 0, 105.5, 8, 28.7
Strikeout, 1, 1, 2, 1, None, None, 28.7
Flyout, 0, 0, 0, 0, 80.2, 35, 28.7
Strikeout, 2, 0, 1, 6, None, None, 28.7
Flyout, 3, 0, 0, 2, 90.1, 35, 28.7
Groundout, 1, 1, 0, 1, 54.8, -66, 28.7
Field Error, 2, 0, 1, 1, 90.5, 31, 28.7
Sac Fly, 1, 0, 0, 1, 86.9, 30, 28.7
Groundout, 3, 1, 0, 3, 82.0, -55, 28.7
Hit By Pitch, 1, 0, 1, 2, None, None, 28.7
Strikeout, 1, 1, 2, 0, None, None, 28.7
Strikeout, 2, 2, 1, 0, None, None, 28.7
Groundout, 2, 1, 0, 3, 87.6, -12, 28.7
Groundout, 0, 0, 0, 0, 42.1, -64, 28.7
Catcher Interference, 1, 1, 0, 1, None, None, 28.7
Single, 0, 1, 0, 1, 81.4, 21, 28.7
Strikeout, 0, 1, 2, 1, None, None, 28.7
Single, 1, 1, 0, 2, 87.9, 6, 28.7
Flyout, 1, 0, 1, 0, 82.8, 29, 28.7
Single, 2, 1, 0, 0, 70.8, -48, 28.7
Strikeout, 2, 2, 1, 1, None, None, 28.7
Lineout, 0, 2, 0, 0, 91.6, 7, 28.7
Strikeout, 0, 1, 2, 0, None, None, 28.7
Single, 0, 0, 0, 0, 104.2, 2, 28.7
Groundout, 1, 1, 0, 2, 74.8, -18, 28.7
Groundout, 0, 1, 0, 0, 94.4, -4, 28.7
Double, 1, 1, 0, 0, 88.3, 18, 28.7
Forceout, 0, 0, 0, 2, 55.7, -13, 28.7
Single, 3, 2, 0, 0, 78.6, -64, 28.7
Groundout, 2, 0, 0, 2, 71.9, -7, 28.7
Strikeout, 1, 3, 0, 0, None, None, 28.7
Groundout, 0, 0, 0, 0, 68.4, -50, 28.7
Groundout, 3, 1, 1, 0, 93.2, -25, 28.7
Single, 1, 0, 0, 0, 104.6, 2, 28.7
GIDP, 1, 1, 0, 0, 79.8, -13, 28.7
Walk, 4, 1, 0, 2, None, None, 28.7
Double, 2, 0, 0, 1, 103.9, 16, 28.7
Groundout, 0, 0, 1, 1, 87.5, -30, 28.7
Flyout, 1, 0, 0, 0, 87.9, 30, 28.7
Pop Out, 1, 0, 0, 0, 91.2, 54, 28.7
Bunt Groundout, 0, 0, 0, 0, 28.3, 10, 28.7
Pop Out, 3, 1, 1, 1, 74.9, 46, 28.7
Strikeout, 1, 0, 1, 3, None, None, 28.7
Strikeout, 1, 1, 2, 1, None, None, 28.7
Flyout, 1, 0, 0, 0, 86.8, 28, 28.7
Forceout, 3, 1, 1, 2, 96.4, -18, 28.7
Walk, 4, 0, 0, 3, None, None, 28.7
Walk, 4, 0, 0, 1, None, None, 28.7
Pop Out, 1, 0, 0, 0, None, None, 28.7
Flyout, 3, 1, 1, 0, 95.1, 26, 28.7
Single, 2, 1, 0, 0, 51.2, -65, 28.7
Strikeout, 1, 0, 2, 1, None, None, 28.7
Walk, 4, 1, 0, 1, None, None, 28.7
Groundout, 3, 2, 0, 1, 100.4, -11, 28.7
Fielders Choice Out, 1, 0, 0, 0, 95.3, -27, 28.7
Flyout, 0, 1, 0, 0, 96.8, 27, 28.7
Walk, 4, 1, 1, 1, None, None, 25.0
Flyout, 0, 0, 0, 0, 96.0, 34, 25.0
Single, 1, 1, 0, 0, 70.0, 19, 25.0
Double, 1, 0, 0, 0, 103.5, 18, 25.0
Home Run, 1, 1, 0, 0, 101.0, 41, 25.0
Groundout, 2, 2, 0, 0, 68.0, -42, 25.0
Flyout, 2, 1, 0, 1, 92.0, 40, 25.0
Single, 1, 0, 0, 0, 69.0, 10, 25.0
Groundout, 2, 1, 1, 1, 82.3, -22, 25.0
Flyout, 1, 0, 0, 0, 92.8, 57, 25.0
Flyout, 0, 0, 0, 0, 87.1, 63, 25.0
Strikeout, 3, 0, 1, 3, None, None, 25.0
Groundout, 2, 0, 1, 0, 57.5, -10, 25.0
Groundout, 2, 1, 1, 2, None, None, 25.0
Home Run, 2, 1, 0, 2, 102.6, 30, 25.0
Single, 0, 1, 0, 0, 86.1, 3, 25.0
Home Run, 2, 1, 0, 0, 101.4, 27, 25.0
Home Run, 0, 1, 0, 1, 98.7, 39, 25.0
Strikeout, 3, 0, 3, 1, None, None, 25.0
Strikeout, 2, 1, 2, 0, None, None, 25.0
Pop Out, 3, 0, 1, 0, 77.0, 60, 25.0
Strikeout, 0, 1, 1, 1, None, None, 25.0
Forceout, 0, 0, 1, 1, 87.9, -14, 25.0
Forceout, 3, 1, 0, 2, 98.3, -13, 25.0
Single, 2, 1, 1, 0, 96.3, None, 25.0
Flyout, 2, 2, 0, 1, 84.7, 34, 25.0
Groundout, 2, 1, 0, 0, 87.6, -6, 25.0
Strikeout, 0, 0, 1, 2, None, None, 25.0
Groundout, 1, 0, 0, 1, 96.5, -13, 25.0
Single, 0, 1, 0, 0, 78.3, 11, 25.0
Groundout, 3, 1, 0, 1, 101.6, -2, 25.0
Groundout, 0, 0, 0, 0, 86.8, -14, 25.0
Strikeout, 2, 2, 1, 0, None, None, 25.0
Groundout, 0, 0, 0, 0, 61.7, -15, 25.0
Pop Out, 1, 0, 0, 0, 83.0, 76, 25.0
Single, 0, 1, 0, 1, 67.3, 25, 25.0
Groundout, 0, 0, 0, 0, 67.1, -17, 25.0
Groundout, 1, 0, 0, 2, 79.6, -49, 25.0
Single, 0, 1, 0, 0, 96.0, 5, 25.0
Strikeout, 3, 2, 1, 4, None, None, 25.0
GIDP, 1, 1, 0, 0, 62.9, -31, 25.0
Lineout, 1, 0, 0, 1, 77.2, 24, 25.0
Strikeout, 3, 2, 1, 3, None, None, 25.0
Strikeout, 3, 1, 2, 1, None, None, 25.0
Single, 1, 1, 1, 0, 96.1, -14, 25.0
Strikeout, 3, 1, 1, 2, None, None, 25.0
GIDP, 0, 0, 0, 0, 96.9, -11, 25.0
Strikeout, 0, 1, 1, 1, None, None, 25.0
Strikeout, 2, 0, 1, 2, None, None, 25.0
Strikeout, 1, 1, 1, 1, None, None, 25.0
Strikeout, 0, 0, 1, 2, None, None, 25.0
Walk, 4, 2, 0, 0, None, None, 25.0
Double, 0, 0, 0, 0, 101.4, 23, 25.0
Flyout, 1, 0, 0, 0, 77.7, 39, 25.0
Strikeout, 2, 1, 1, 1, None, None, 25.0
Strikeout, 2, 1, 2, 0, None, None, 25.0
Strikeout, 2, 1, 2, 1, None, None, 25.0
Pop Out, 2, 1, 0, 0, 79.6, 72, 25.0
Flyout, 1, 0, 0, 0, 91.6, 39, 25.0
Strikeout, 0, 1, 2, 0, None, None, 25.0
Groundout, 0, 1, 0, 0, 95.1, 6, 25.0
Single, 1, 1, 0, 1, 93.8, 12, 25.0
Strikeout, 0, 0, 1, 2, None, None, 25.0
Pop Out, 3, 0, 0, 1, 82.3, 61, 25.0
Forceout, 1, 0, 1, 0, 101.4, -13, 25.0
Lineout, 2, 0, 0, 3, 81.9, 13, 25.0
Strikeout, 0, 2, 1, 1, None, None, 25.0
Strikeout, 1, 1, 2, 2, None, None, 25.0
Pop Out, 1, 1, 1, 0, 79.5, 76, 25.0
GIDP, 0, 0, 0, 0, 95.9, None, 25.0
Pop Out, 1, 1, 0, 0, 78.9, 60, 25.0
Double, 3, 2, 0, 0, 99.9, 21, 25.0
Strikeout, 1, 1, 2, 0, None, None, 25.0
Single, 2, 0, 2, 0, 62.2, 36, 25.0
Single, 3, 0, 1, 0, 102.2, -4, 25.0
GIDP, 2, 1, 1, 1, 96.9, 7, 25.0
Single, 0, 0, 0, 0, 59.3, 29, 25.0
Strikeout, 1, 2, 0, 1, None, None, 25.0
Walk, 4, 0, 2, 1, None, None, 25.0
Single, 1, 0, 1, 0, 76.5, 38, 25.0
Strikeout, 3, 0, 1, 3, None, None, 25.0
Lineout, 3, 1, 0, 3, 102.0, 16, 25.0
Single, 0, 1, 0, 0, 96.0, -6, 25.0
Strikeout, 1, 0, 2, 1, None, None, 25.0
Groundout, 0, 0, 1, 1, 100.8, -14, 25.0
Strikeout, 0, 1, 1, 1, None, None, 25.0
Single, 1, 0, 0, 0, 97.8, -3, 25.0
Pop Out, 1, 0, 0, 0, 80.6, 73, 25.0
Single, 3, 2, 0, 0, 105.0, 7, 25.0
Flyout, 0, 0, 0, 0, 87.8, 39, 25.0
Single, 1, 0, 1, 0, 77.6, 18, 25.0
Pop Out, 0, 0, 0, 0, 86.9, 81, 25.0
Strikeout, 0, 1, 1, 1, None, None, 25.0
Walk, 4, 0, 0, 1, None, None, 25.0
Pop Out, 0, 1, 0, 1, 82.9, 63, 25.0
Fielders Choice Out, 0, 0, 0, 0, 91.6, -1, 25.0
Strikeout, 0, 1, 1, 2, None, None, 25.0
Lineout, 1, 1, 0, 0, 92.9, 18, 25.0
Groundout, 0, 0, 0, 0, 73.1, -45, 25.0
Double, 3, 2, 0, 1, 100.6, 26, 25.0
Strikeout, 1, 2, 0, 3, None, None, 25.0
Flyout, 1, 0, 0, 0, 89.6, 35, 25.0
Double, 3, 1, 0, 1, 103.4, 14, 25.0
Groundout, 1, 1, 1, 0, 82.6, -46, 25.0
Walk, 4, 2, 0, 0, None, None, 25.0
Single, 2, 1, 0, 0, 100.9, 14, 25.0
Walk, 4, 1, 0, 1, None, None, 25.0
Walk, 4, 1, 1, 0, None, None, 25.0
GIDP, 1, 0, 1, 2, 81.2, -14, 25.0
Flyout, 2, 0, 0, 1, 94.4, 40, 25.0
Single, 0, 1, 0, 0, 90.5, 8, 25.0
Flyout, 2, 2, 0, 1, 93.9, 26, 25.0
Strikeout, 2, 1, 1, 2, None, None, 25.0
Groundout, 0, 0, 0, 0, 103.3, -4, 25.0
Groundout, 0, 1, 0, 0, 85.6, -24, 25.0
Flyout, 1, 0, 0, 1, 93.2, 45, 25.0
Groundout, 2, 1, 0, 1, 108.8, -44, 25.0
Groundout, 3, 0, 0, 1, 78.4, -43, 25.0
Walk, 4, 1, 0, 0, None, None, 25.0
Single, 2, 0, 0, 1, 102.9, 19, 25.0
Flyout, 0, 0, 0, 1, 93.9, 38, 25.0
Strikeout, 0, 1, 1, 2, None, None, 25.0
Single, 1, 0, 1, 0, 48.4, -63, 25.0
Flyout, 3, 1, 0, 0, 86.4, 50, 25.0
Strikeout, 2, 2, 1, 1, None, None, 25.0
Lineout, 0, 0, 0, 0, 100.1, 19, 25.0
Walk, 4, 1, 0, 0, None, None, 25.0
Strikeout, 2, 1, 1, 4, None, None, 25.0
Walk, 4, 1, 0, 1, None, None, 25.0
Single, 2, 1, 0, 0, 100.9, 14, 25.0
Walk, 4, 1, 0, 1, None, None, 25.0
Walk, 4, 1, 1, 0, None, None, 25.0
GIDP, 1, 0, 1, 2, 81.2, -14, 25.0
Single, 1, 1, 0, 1, 100.2, 12, 25.0
Single, 2, 1, 1, 0, 98.0, 1, 25.0
Single, 0, 1, 0, 1, 56.5, -56, 25.0
Strikeout, 2, 2, 0, 2, None, None, 25.0
Forceout, 0, 1, 0, 1, 79.7, -40, 25.0
Strikeout, 2, 1, 2, 0, None, None, 25.0
Flyout, 1, 0, 0, 0, 77.9, 58, 25.0
Forceout, 0, 0, 0, 2, 97.4, -15, 25.0
Strikeout, 3, 0, 1, 3, None, None, 25.0
Flyout, 1, 0, 1, 2, 90.7, 46, 25.0
Single, 2, 0, 0, 0, 75.2, -33, 25.0
Single, 1, 1, 0, 1, 101.2, 9, 25.0
Single, 3, 1, 0, 0, 67.7, 31, 25.0
Single, 1, 1, 0, 0, 85.3, 14, 25.0
Strikeout, 2, 2, 1, 0, None, None, 25.0
Walk, 4, 0, 0, 1, None, None, 25.0
Flyout, 0, 1, 1, 1, 88.8, 29, 25.0
Lineout, 1, 1, 1, 0, 97.5, 19, 25.0
Flyout, 0, 0, 0, 0, 86.5, 28, 25.0
Single, 1, 1, 0, 0, 96.3, 13, 25.0
Fielders Choice, 3, 1, 0, 3, 91.9, 2, 25.0
GIDP, 1, 1, 0, 0, 67.4, -25, 25.0
Home Run, 1, 1, 0, 1, 98.1, 28, 25.0
Groundout, 3, 0, 0, 4, 103.8, -34, 25.0
Walk, 4, 0, 0, 0, None, None, 25.0
Flyout, 0, 1, 0, 0, 85.7, 31, 25.0
Strikeout, 2, 0, 2, 1, None, None, 25.0
Groundout, 2, 1, 0, 1, 91.4, 2, 25.0
Groundout, 1, 0, 0, 1, 92.1, -18, 25.0
Walk, 4, 1, 0, 2, None, None, 25.0
Single, 2, 1, 0, 2, 70.7, 28, 25.0
Strikeout, 2, 1, 1, 4, None, None, 25.0
Walk, 4, 1, 0, 0, None, None, 25.0
Pop Out, 1, 1, 1, 2, 82.9, 75, 25.0
Pop Out, 3, 0, 1, 3, 90.5, 57, 25.0
Strikeout, 0, 1, 1, 1, None, None, 25.0
Strikeout, 2, 0, 1, 6, None, None, 25.0
Single, 0, 0, 0, 1, 86.5, 5, 25.0
Double, 1, 1, 0, 0, 105.1, 10, 25.0
Double, 1, 1, 0, 0, 98.8, 19, 25.0
Walk, 4, 0, 1, 1, None, None, 25.0
Flyout, 2, 1, 0, 2, 96.9, 38, 25.0
Groundout, 1, 0, 0, 0, 99.8, -3, 25.0
Lineout, 0, 1, 0, 1, 100.7, 18, 25.0
Walk, 4, 0, 0, 2, None, None, 25.0
Double, 2, 0, 0, 0, 92.3, 29, 25.0
Pop Out, 2, 1, 0, 0, 74.5, 81, 25.0
Field Error, 0, 2, 0, 0, 86.2, -17, 25.0
Flyout, 3, 0, 0, 0, 102.5, 43, 25.0
Flyout, 0, 1, 1, 2, 96.8, 45, 25.0
Home Run, 2, 0, 0, 1, 97.7, 32, 25.0
Lineout, 1, 1, 1, 0, 74.6, 13, 25.0
Forceout, 2, 1, 1, 1, 83.0, -31, 25.0
Strikeout, 0, 2, 1, 1, None, None, 25.0
Single, 0, 1, 0, 0, 95.7, 26, 25.0
Flyout, 0, 0, 0, 0, 77.7, 30, 25.0
Home Run, 1, 0, 0, 0, 105.4, 28, 25.0
Single, 0, 1, 0, 0, 103.9, 15, 25.0
Double, 0, 1, 0, 0, 96.5, 4, 25.0
Strikeout, 3, 1, 1, 3, None, None, 25.0
Sac Fly, 2, 0, 0, 2, 80.9, 39, 25.9
Flyout, 2, 0, 0, 0, 78.4, 33, 25.9
Home Run, 1, 2, 0, 1, 100.6, 23, 25.9
Pop Out, 0, 0, 0, 0, 67.9, 64, 25.9
Strikeout, 1, 0, 3, 0, None, None, 25.9
Forceout, 1, 0, 1, 3, 71.3, -36, 25.9
Single, 1, 0, 0, 0, 89.5, 17, 25.9
Strikeout, 3, 0, 2, 4, None, None, 25.9
Hit By Pitch, 1, 0, 1, 1, None, None, 25.9
Walk, 4, 0, 0, 0, None, None, 25.9
Strikeout, 2, 1, 1, 1, None, None, 25.9
Strikeout, 1, 2, 1, 1, None, None, 25.9
Walk, 4, 0, 2, 0, None, None, 25.9
Single, 2, 1, 0, 4, 85.7, 24, 25.9
Strikeout, 3, 1, 1, 7, None, None, 25.9
Strikeout, 1, 2, 1, 0, None, None, 25.9
Groundout, 0, 1, 0, 0, 79.1, 11, 25.9
Walk, 4, 0, 0, 2, None, None, 25.9
Walk, 4, 1, 0, 2, None, None, 25.9
Strikeout, 1, 1, 1, 1, None, None, 25.9
Strikeout, 0, 0, 2, 1, None, None, 25.9
Sac Fly, 1, 0, 0, 0, 97.2, 57, 25.9
Groundout, 2, 0, 0, 0, 105.2, -12, 25.9
Flyout, 1, 0, 0, 1, 99.4, 33, 25.9
Double, 3, 0, 0, 1, 106.9, 22, 25.9
Home Run, 1, 0, 0, 1, 101.4, 34, 25.9
Flyout, 3, 1, 0, 0, 87.6, 63, 25.9
Groundout, 1, 2, 0, 1, 94.6, -37, 25.9
Flyout, 1, 1, 0, 3, 83.4, 55, 25.9
Double, 3, 0, 1, 0, 98.2, 28, 25.9
Strikeout, 1, 1, 2, 0, None, None, 25.9
Strikeout, 0, 1, 2, 0, None, None, 25.9
GIDP, 1, 1, 1, 0, 80.2, 1, 25.9
Lineout, 0, 0, 0, 0, 92.3, 25, 25.9
Groundout, 0, 1, 0, 1, None, None, 25.9
Fielders Choice Out, 0, 0, 0, 0, 58.2, -79, 25.9
Double, 1, 0, 0, 0, 86.5, 27, 25.9
Walk, 4, 0, 0, 1, None, None, 25.9
Double Play, 0, 0, 0, 0, 96.0, 5, 25.9
Strikeout, 1, 1, 1, 1, None, None, 25.9
Groundout, 0, 0, 1, 0, 93.9, 9, 25.9
Double, 0, 0, 0, 0, 81.7, 27, 25.9
Walk, 4, 0, 1, 1, None, None, 25.9
Flyout, 1, 0, 0, 0, 95.1, 34, 25.9
Home Run, 1, 0, 0, 0, 103.1, 28, 25.9
Groundout, 1, 0, 0, 1, 86.1, -22, 25.9
Home Run, 2, 0, 0, 0, 104.4, 31, 25.9
Double, 1, 0, 0, 1, 97.0, 27, 25.9
Strikeout, 1, 2, 1, 2, None, None, 25.9
Groundout, 1, 0, 1, 1, 99.1, -3, 25.9
Groundout, 1, 1, 0, 1, 87.1, -25, 25.9
Forceout, 0, 1, 0, 0, 98.8, 2, 25.9
Home Run, 1, 1, 0, 0, 96.1, 38, 25.9
Walk, 4, 0, 1, 2, None, None, 25.9
Single, 0, 0, 0, 0, 104.1, 1, 25.9
Strikeout, 1, 1, 2, 0, None, None, 25.9
Double, 2, 2, 0, 0, 79.4, 17, 25.9
Strikeout, 2, 1, 2, 0, None, None, 25.9
Groundout, 1, 0, 0, 1, 64.2, -5, 25.9
Home Run, 1, 1, 1, 1, 110.7, 25, 25.9
Single, 2, 1, 0, 2, 83.7, 23, 25.9
Flyout, 1, 1, 0, 0, 80.2, 43, 25.9
Strikeout, 3, 1, 0, 2, None, None, 25.9
Groundout, 0, 1, 0, 0, 70.7, 9, 25.9
Double, 0, 0, 0, 0, 104.0, 22, 25.9
Forceout, 1, 1, 0, 0, 75.3, -11, 25.9
Groundout, 3, 1, 0, 1, 33.5, -43, 25.9
Hit By Pitch, 1, 0, 0, 1, None, None, 25.9
Single, 1, 1, 1, 0, 34.6, 33, 25.9
Groundout, 1, 1, 0, 0, 62.5, -6, 25.9
Double, 0, 0, 0, 0, 98.6, 27, 25.9
Lineout, 3, 1, 1, 4, 94.5, 17, 25.9
Walk, 4, 0, 0, 0, None, None, 25.9
Groundout, 0, 1, 0, 1, 62.5, -25, 25.9
Strikeout, 2, 1, 2, 0, None, None, 25.9
Double, 0, 0, 1, 0, 73.2, 27, 25.9
Double, 1, 2, 0, 0, 98.4, 18, 25.9
Walk, 4, 0, 0, 0, None, None, 25.9
Walk, 4, 1, 0, 3, None, None, 25.9
Single, 2, 0, 1, 1, 99.5, -5, 25.9
Single, 0, 1, 0, 0, 102.4, 25, 25.9
Double, 2, 1, 1, 0, 96.5, 24, 25.9
Flyout, 0, 0, 1, 1, 80.8, 34, 25.9
Strikeout, 0, 2, 1, 0, None, None, 25.9
Groundout, 1, 0, 1, 0, 83.6, 11, 25.9
Single, 0, 1, 0, 1, 96.8, 13, 25.9
Single, 1, 0, 0, 0, 99.2, 13, 25.9
Lineout, 1, 1, 0, 0, 92.1, 6, 25.9
Groundout, 0, 0, 0, 0, 102.9, 3, 25.9
Lineout, 0, 1, 0, 0, 100.2, 8, 25.9
Walk, 4, 0, 1, 1, None, None, 25.9
Strikeout, 1, 0, 2, 1, None, None, 25.9
Single, 0, 1, 0, 0, 86.6, 16, 25.9
Groundout, 1, 0, 0, 1, 85.8, -17, 25.9
Groundout, 3, 1, 0, 1, 96.1, 1, 25.9
Walk, 4, 0, 0, 0, None, None, 25.9
Walk, 4, 1, 0, 3, None, None, 25.9
Single, 2, 0, 1, 1, 99.5, -5, 25.9
Pop Out, 0, 0, 0, 1, 82.8, 59, 25.9
Strikeout, 0, 1, 1, 3, None, None, 25.9
Groundout, 0, 0, 0, 0, 95.4, -8, 25.9
Flyout, 3, 1, 0, 1, 97.0, 43, 25.9
Single, 0, 1, 0, 0, 88.2, 3, 25.9
Sac Fly, 1, 0, 0, 0, 95.4, 45, 25.9
Strikeout, 2, 0, 2, 1, None, None, 25.9
Strikeout, 0, 1, 2, 0, None, None, 25.9
Lineout, 0, 1, 0, 0, 94.1, 6, 25.9
Hit By Pitch, 1, 1, 0, 0, None, None, 25.9
Home Run, 0, 0, 1, 2, 107.0, 22, 25.9
Single, 0, 1, 0, 0, 102.4, 25, 25.9
Double, 2, 1, 1, 0, 96.5, 24, 25.9
Flyout, 0, 0, 1, 1, 80.8, 34, 25.9
Groundout, 0, 1, 0, 0, 97.9, -13, 25.9
Strikeout, 1, 0, 1, 2, None, None, 25.9
Groundout, 2, 2, 0, 0, 88.8, -4, 25.9
Double, 0, 1, 0, 1, 101.2, 24, 25.9
Flyout, 2, 0, 1, 0, 87.8, 52, 25.9
Forceout, 0, 1, 1, 0, 87.2, -25, 25.9
Walk, 4, 0, 0, 1, None, None, 25.9
Strikeout, 1, 2, 1, 0, None, None, 25.9
Strikeout, 0, 2, 1, 0, None, None, 25.9
Groundout, 1, 0, 1, 0, 83.6, 11, 25.9
Single, 0, 1, 0, 1, 96.8, 13, 25.9
Single, 1, 0, 0, 0, 99.2, 13, 25.9
Single, 0, 1, 0, 0, 88.2, 3, 25.9
Sac Fly, 1, 0, 0, 0, 95.4, 45, 25.9
Strikeout, 2, 0, 2, 1, None, None, 25.9
Strikeout, 0, 1, 2, 0, None, None, 25.9
Strikeout, 0, 1, 1, 1, None, None, 25.9
Groundout, 1, 1, 0, 0, 93.7, -3, 25.9
Strikeout, 2, 0, 1, 4, None, None, 25.9
Strikeout, 2, 1, 1, 1, None, None, 25.9
Lineout, 1, 1, 0, 0, 92.1, 6, 25.9
Groundout, 0, 0, 0, 0, 102.9, 3, 25.9
Lineout, 0, 1, 0, 0, 100.2, 8, 25.9
Walk, 4, 0, 1, 1, None, None, 25.9
Strikeout, 1, 0, 2, 1, None, None, 25.9
Lineout, 2, 0, 0, 3, 81.8, 24, 25.9
Strikeout, 3, 2, 0, 1, None, None, 25.9
Single, 0, 0, 1, 0, 83.4, 26, 25.9
Single, 3, 1, 1, 0, 90.8, 17, 25.9
Strikeout, 1, 1, 1, 2, None, None, 25.9
Lineout, 2, 0, 2, 0, 95.7, 10, 25.9
Forceout, 1, 0, 0, 0, 59.8, -26, 25.9
Single, 1, 1, 0, 0, 53.6, -48, 25.9
Double, 1, 1, 0, 1, 100.9, 22, 25.9
Double, 1, 0, 0, 1, 97.5, 11, 25.9
Strikeout, 2, 1, 2, 2, None, None, 25.9
Single, 0, 0, 0, 0, 107.8, 11, 25.9
Double, 1, 0, 0, 2, 101.3, 13, 25.9
Flyout, 0, 1, 0, 1, 94.7, 28, 25.9
Strikeout, 3, 0, 3, 1, None, None, 25.9
Double, 0, 0, 0, 0, 105.5, 21, 25.9
Strikeout, 1, 0, 2, 1, None, None, 25.9
Strikeout, 1, 1, 2, 1, None, None, 25.9
Double, 1, 0, 0, 3, 97.0, 25, 25.9
Strikeout, 0, 1, 1, 2, None, None, 25.9
Single, 1, 0, 0, 0, 83.5, 21, 25.9
Flyout, 2, 1, 1, 0, 93.4, 57, 25.9
Walk, 4, 0, 0, 1, None, None, 25.9
Strikeout, 3, 0, 3, 0, None, None, 25.9
Home Run, 3, 0, 0, 0, 105.7, 27, 25.9
Strikeout, 1, 2, 1, 0, None, None, 25.9
