Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Lineout, 0, 0, 0, 1, 87.6, 23
Strikeout, 1, 2, 1, 0, None, None
Groundout, 2, 1, 0, 2, 101.5, -1
Single, 0, 0, 0, 0, 104.1, 10
Strikeout, 1, 0, 1, 3, None, None
Strikeout, 0, 0, 2, 1, None, None
Strikeout, 2, 1, 1, 3, None, None
Single, 0, 0, 1, 0, 84.6, 16
Groundout, 2, 0, 1, 1, 68.1, -27
Fielders Choice, 0, 1, 0, 0, 66.0, -43
Strikeout, 0, 1, 2, 0, None, None
Strikeout, 1, 1, 0, 2, None, None
Strikeout, 1, 1, 1, 1, None, None
Pop Out, 1, 0, 0, 3, 84.2, 65
Walk, 4, 1, 1, 0, None, None
Single, 2, 1, 0, 1, 100.5, -10
Pop Out, 0, 0, 0, 1, 88.0, 61
Strikeout, 1, 0, 1, 2, None, None
Lineout, 0, 0, 0, 0, 98.0, 18
Single, 1, 0, 0, 0, 82.2, 15
Walk, 4, 0, 0, 3, None, None
Single, 1, 0, 0, 0, 106.5, 6
Strikeout, 0, 1, 1, 1, None, None
Groundout, 0, 0, 0, 0, 89.4, -17
Pop Out, 0, 0, 0, 0, 84.2, 60
Flyout, 3, 1, 0, 4, 90.4, 49
Groundout, 0, 1, 0, 0, 104.2, 2
Flyout, 2, 2, 0, 0, 73.0, 40
Double, 0, 0, 0, 1, 107.2, 8
Walk, 4, 1, 0, 0, None, None
GIDP, 1, 1, 0, 0, 91.2, -6
Strikeout, 0, 3, 0, 0, None, None
Double, 1, 0, 0, 0, 103.5, 14
Flyout, 0, 0, 0, 0, 96.3, 45
Lineout, 3, 0, 0, 1, 103.5, 21
Field Error, 1, 1, 0, 1, 77.5, 4
Single, 2, 1, 1, 0, 52.7, -57
Pop Out, 1, 1, 0, 0, 89.6, 65
Strikeout, 1, 2, 0, 6, None, None
Single, 2, 0, 1, 2, 89.2, 2
Flyout, 1, 0, 0, 2, 70.7, 39
Single, 0, 0, 0, 0, 107.1, 12
Strikeout, 1, 1, 2, 1, None, None
Strikeout, 3, 2, 0, 2, None, None
Groundout, 0, 0, 0, 0, 92.8, 2
Strikeout, 1, 1, 1, 1, None, None
Flyout, 3, 1, 0, 3, 94.7, 36
Pop Out, 0, 1, 0, 0, 56.0, 48
Strikeout, 1, 1, 1, 1, None, None
Strikeout, 1, 0, 2, 1, None, None
Double, 1, 0, 0, 0, 87.8, 6
Strikeout, 2, 1, 0, 3, None, None
Groundout, 0, 0, 1, 0, 95.5, -3
Lineout, 3, 1, 0, 0, 98.2, 22
Strikeout, 2, 1, 2, 1, None, None
Home Run, 1, 0, 1, 1, 102.5, 27
Intent Walk, 2, 0, 0, 0, None, None
Strikeout, 1, 1, 1, 1, None, None
Flyout, 1, 1, 0, 1, 98.5, 44
Groundout, 0, 0, 0, 0, 76.5, -16
Groundout, 0, 0, 0, 0, 89.8, 5
Groundout, 1, 0, 0, 0, 71.5, -12
Single, 0, 0, 0, 0, 103.0, 4
Strikeout, 2, 0, 2, 1, None, None
Single, 1, 1, 0, 0, 104.8, -12
Single, 1, 0, 0, 0, 97.3, 3
Single, 1, 1, 0, 2, 109.4, 7
Strikeout, 1, 1, 2, 0, None, None
Walk, 4, 0, 0, 0, None, None
Single, 0, 0, 0, 0, 85.7, 19
Single, 0, 0, 1, 0, 111.2, 5
Lineout, 0, 0, 1, 1, 98.6, 20
Flyout, 3, 1, 0, 0, 92.8, 28
Strikeout, 0, 1, 1, 1, None, None
Groundout, 3, 0, 0, 2, 102.9, -3
Home Run, 3, 0, 0, 2, 107.6, 23
Pop Out, 1, 0, 0, 0, 83.4, 73
GIDP, 0, 0, 0, 0, 99.1, -19
Forceout, 0, 1, 0, 0, 86.0, -36
Groundout, 1, 0, 0, 0, 74.0, -43
Groundout, 0, 0, 0, 2, 101.9, -5
Groundout, 1, 0, 0, 0, 78.9, -27
Home Run, 1, 1, 0, 0, 105.5, 28
Pop Out, 0, 0, 0, 2, 86.7, 79
Lineout, 0, 0, 0, 0, 104.1, 9
Home Run, 1, 0, 0, 0, 102.5, 33
Double, 0, 0, 0, 0, 105.6, 21
Strikeout, 3, 1, 2, 0, None, None
Flyout, 1, 1, 0, 0, 92.4, 36
Strikeout, 1, 0, 2, 0, None, None
Flyout, 0, 0, 0, 0, 87.0, 31
Flyout, 1, 1, 0, 0, 92.4, 36
Strikeout, 1, 0, 2, 0, None, None
Flyout, 0, 0, 0, 0, 87.0, 31
Single, 3, 2, 0, 4, 96.8, -13
Groundout, 0, 0, 0, 0, 108.1, None
Pop Out, 1, 0, 2, 0, 84.4, 60
Intent Walk, 1, 0, 0, 0, None, None
Walk, 4, 0, 1, 0, None, None
Double, 0, 1, 0, 0, 94.4, 21
Flyout, 1, 0, 0, 1, 104.7, 39
Strikeout, 2, 1, 0, 3, None, None
Walk, 4, 0, 1, 1, None, None
Single, 1, 0, 1, 0, 96.5, 17
Single, 1, 0, 1, 1, 101.2, 1
Flyout, 2, 0, 0, 2, 95.5, 56
Fielders Choice, 2, 0, 1, 2, 82.4, -38
Flyout, 2, 0, 0, 1, 97.0, 50
Lineout, 0, 0, 0, 0, 78.5, 29
Single, 3, 1, 0, 1, 71.2, 29
Hit By Pitch, 0, 0, 0, 1, None, None
Groundout, 0, 1, 0, 0, 97.2, -22
Forceout, 1, 0, 1, 1, 103.7, -1
Single, 1, 0, 0, 0, 86.5, 14
Strikeout, 0, 1, 1, 1, None, None
Groundout, 2, 0, 1, 1, 82.9, -4
Double, 0, 0, 0, 0, 105.9, 21
Groundout, 1, 1, 0, 0, 86.2, -5
Flyout, 0, 1, 0, 0, 96.7, 42
Strikeout, 1, 1, 1, 4, None, None
Lineout, 1, 1, 0, 1, 67.7, 7
Single, 0, 0, 0, 0, 103.3, -1
Flyout, 1, 1, 0, 0, 91.0, 51
Single, 0, 1, 0, 1, 93.7, None
Strikeout, 2, 2, 1, 0, None, None
Walk, 4, 2, 0, 1, None, None
Flyout, 0, 0, 1, 0, 84.9, 49
Single, 0, 0, 0, 0, 58.5, -60
Strikeout, 1, 1, 1, 1, None, None
Flyout, 1, 0, 0, 0, 93.6, 58
Home Run, 2, 0, 0, 1, 104.7, 24
Groundout, 1, 1, 0, 0, 80.8, -22
Strikeout, 2, 0, 2, 1, None, None
Fielders Choice Out, 0, 0, 0, 0, 93.8, -6
Lineout, 1, 0, 0, 0, 104.3, 15
Flyout, 0, 0, 0, 0, 98.6, 46
Groundout, 0, 0, 0, 0, 100.7, -1
Strikeout, 3, 0, 3, 1, None, None
Pop Out, 0, 1, 0, 1, 82.5, 75
Forceout, 2, 0, 1, 2, 75.5, -1
Walk, 4, 0, 2, 1, None, None
Groundout, 0, 0, 1, 0, 58.6, -50
Groundout, 3, 0, 0, 1, 74.4, -13
Strikeout, 2, 1, 2, 2, None, None
Flyout, 2, 0, 1, 1, 82.5, 33
Single, 2, 0, 0, 1, 100.2, 8
Strikeout, 1, 1, 1, 2, None, None
Strikeout, 0, 0, 1, 2, None, None
Flyout, 0, 0, 0, 0, 96.9, 45
Flyout, 0, 0, 0, 1, 89.1, 54
Lineout, 1, 0, 0, 0, 99.4, 8
Single, 3, 0, 0, 1, 73.7, -63
Groundout, 2, 1, 1, 0, 89.6, 1
Groundout, 1, 0, 1, 0, 96.0, -7
Walk, 4, 1, 0, 0, None, None
Double, 1, 1, 0, 1, 102.3, 12
Double, 2, 0, 2, 0, 99.5, 4
Single, 2, 0, 1, 3, 100.0, 12
Strikeout, 2, 3, 0, 1, None, None
Pop Out, 0, 0, 0, 0, 83.7, 78
Flyout, 3, 2, 0, 0, 90.6, 48
Single, 2, 1, 0, 0, 100.5, -22
Strikeout, 3, 0, 2, 2, None, None
Forceout, 1, 1, 1, 1, 77.4, -47
Groundout, 0, 0, 0, 1, 86.3, -8
Groundout, 2, 1, 0, 0, 82.3, -30
Lineout, 1, 1, 0, 1, 81.0, 12
Groundout, 0, 1, 0, 0, 91.1, -12
Lineout, 2, 0, 0, 2, 77.9, 27
Double, 0, 0, 0, 0, 64.0, 33
Lineout, 1, 0, 0, 0, 83.6, 25
Home Run, 1, 1, 0, 0, 99.7, 36
Strikeout, 2, 1, 1, 1, None, None
Flyout, 0, 0, 0, 0, 98.4, 32
Double, 1, 1, 0, 1, 104.8, 19
Groundout, 0, 0, 0, 0, 55.5, -76
Strikeout, 1, 1, 2, 0, None, None
Strikeout, 2, 1, 1, 1, None, None
Flyout, 0, 0, 0, 0, 88.7, 62
Pop Out, 0, 0, 1, 0, 82.1, 64
Walk, 4, 1, 0, 0, None, None
Groundout, 0, 1, 0, 1, 74.2, 5
Flyout, 2, 0, 0, 0, 99.6, 36
Home Run, 0, 0, 1, 0, 95.9, 31
Flyout, 1, 1, 0, 0, 94.3, 40
Lineout, 1, 0, 0, 0, 94.5, 19
Home Run, 1, 0, 0, 0, 102.8, 28
