Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Strikeout, 2, 2, 1, 0, None, None
Flyout, 1, 0, 1, 1, 80.7, 36
Strikeout, 3, 2, 1, 0, None, None
Single, 0, 1, 0, 0, 99.2, -18
Strikeout, 0, 2, 1, 0, None, None
Groundout, 0, 1, 0, 1, 78.0, 2
Walk, 4, 0, 0, 0, None, None
Pop Out, 0, 1, 0, 1, 57.7, 62
Single, 0, 2, 0, 1, 92.1, -18
Single, 1, 1, 0, 2, 100.2, 2
Single, 0, 1, 0, 1, 64.1, -69
Flyout, 1, 1, 0, 0, 72.7, 39
Groundout, 2, 2, 0, 0, 57.0, 9
Groundout, 0, 2, 0, 0, 73.1, -15
Forceout, 2, 1, 0, 1, 76.6, -14
Single, 0, 1, 0, 0, 59.4, 31
Sac Bunt, 1, 0, 0, 0, 37.5, -34
Pop Out, 0, 2, 0, 0, 64.6, 82
Flyout, 1, 1, 0, 0, 86.9, 35
Flyout, 1, 1, 0, 1, 84.3, 32
Lineout, 1, 1, 0, 3, 94.9, 15
Flyout, 3, 2, 0, 0, 84.4, 44
Forceout, 0, 1, 0, 0, 98.4, -23
Groundout, 0, 1, 0, 0, 92.2, -28
Groundout, 1, 0, 0, 1, 87.8, -33
Flyout, 0, 1, 0, 0, 79.4, 44
Groundout, 1, 2, 0, 0, 86.6, -22
Lineout, 0, 1, 0, 0, 86.9, 23
Double, 1, 0, 0, 1, 66.0, 21
Flyout, 1, 1, 0, 0, 78.8, 50
Groundout, 2, 1, 0, 0, 85.0, 5
Pop Out, 2, 2, 0, 0, 73.4, 65
Single, 0, 0, 0, 0, 70.3, 23
Groundout, 3, 2, 0, 0, 84.4, -29
Fielders Choice, 1, 2, 0, 0, 91.5, None
Groundout, 2, 2, 0, 0, 96.6, -12
Pop Out, 1, 1, 0, 0, 77.3, 53
Groundout, 1, 2, 0, 1, 57.4, -44
Flyout, 1, 1, 0, 0, 73.2, 26
Single, 2, 1, 0, 1, 69.9, 27
Walk, 4, 0, 0, 0, None, None
Lineout, 1, 1, 0, 0, 97.1, 6
Single, 1, 1, 0, 0, 82.1, 9
Groundout, 1, 1, 0, 0, 91.3, 1
Groundout, 1, 0, 0, 3, 75.1, 3
GIDP, 2, 2, 0, 1, 92.8, -8
Strikeout, 2, 3, 0, 0, None, None
Single, 0, 0, 0, 0, 70.8, 25
Lineout, 2, 1, 0, 0, 84.6, 6
Strikeout, 1, 1, 2, 0, None, None
Single, 1, 1, 0, 0, 61.8, 14
Lineout, 0, 1, 0, 0, 89.7, 17
Lineout, 0, 0, 0, 0, 88.2, 24
Flyout, 1, 1, 0, 0, 86.8, 35
Groundout, 1, 1, 0, 0, 64.8, -10
Single, 1, 1, 0, 0, 91.4, 9
Single, 2, 1, 0, 2, 76.8, -57
Fielders Choice, 1, 1, 0, 0, 48.4, 26
Groundout, 3, 2, 0, 0, 100.3, 3
Groundout, 2, 1, 0, 0, 96.6, 4
Strikeout, 2, 2, 1, 1, None, None
Strikeout, 0, 1, 1, 1, None, None
Pop Out, 0, 1, 0, 2, 71.0, 60
Single, 2, 1, 0, 0, 64.9, 29
Single, 1, 0, 0, 0, 77.9, 12
Lineout, 0, 0, 0, 0, 93.6, 8
Fielders Choice, 0, 0, 0, 0, 68.2, -26
Single, 2, 1, 0, 2, 96.7, 9
Pop Out, 0, 1, 0, 0, 72.2, 65
Groundout, 3, 2, 0, 1, 78.8, -70
Strikeout, 0, 1, 1, 2, None, None
Single, 3, 2, 0, 0, 95.0, 13
Lineout, 3, 2, 0, 1, 90.3, 20
Single, 0, 1, 0, 0, 87.0, -2
Flyout, 2, 1, 0, 0, 91.4, 27
Flyout, 0, 1, 0, 0, 82.2, 30
Sac Fly, 0, 0, 0, 0, 80.4, 35
Lineout, 1, 0, 0, 0, 88.5, 16
Strikeout, 0, 2, 0, 3, None, None
Lineout, 1, 1, 0, 0, 93.9, 7
Groundout, 0, 1, 0, 0, 95.9, -33
Groundout, 0, 1, 0, 0, 89.7, None
Single, 0, 0, 0, 0, 78.5, -50
Groundout, 0, 1, 0, 0, 83.0, 7
Strikeout, 1, 1, 1, 1, None, None
Strikeout, 1, 0, 1, 2, None, None
Forceout, 1, 0, 0, 1, 97.0, -16
Single, 2, 2, 0, 0, 92.9, -10
Single, 1, 0, 0, 0, 72.0, 13
Single, 2, 1, 1, 0, 95.7, -5
Pop Out, 2, 0, 2, 0, 48.6, 53
Single, 1, 0, 0, 1, 80.0, 10
GIDP, 2, 1, 0, 2, 106.8, -24
Single, 0, 0, 0, 0, 87.6, 17
Lineout, 2, 1, 0, 1, 76.0, 28
Flyout, 1, 1, 0, 0, 78.5, 36
Groundout, 2, 2, 0, 1, 61.2, -9
Groundout, 2, 1, 0, 0, 92.1, -16
Single, 1, 0, 0, 1, 48.5, -14
Groundout, 2, 1, 0, 1, 76.2, 1
Forceout, 0, 1, 0, 0, 84.4, -16
Flyout, 1, 1, 0, 0, 81.5, 38
Walk, 4, 2, 0, 0, None, None
Single, 3, 2, 0, 0, 95.0, 4
Flyout, 0, 1, 0, 0, 81.0, 40
Forceout, 2, 2, 0, 1, 95.2, -20
Lineout, 0, 1, 0, 0, 59.1, 19
Double, 1, 2, 0, 1, 89.4, 29
Groundout, 2, 2, 0, 2, 98.6, -10
Strikeout, 1, 3, 0, 2, None, None
Single, 3, 2, 0, 0, 81.4, -55
GIDP, 0, 2, 0, 0, 82.2, -24
Single, 0, 2, 0, 0, 81.8, 1
Strikeout, 3, 2, 1, 0, None, None
Flyout, 0, 1, 0, 0, 87.2, 38
Groundout, 1, 2, 0, 0, 97.0, -5
Single, 1, 1, 0, 1, 93.1, -20
Groundout, 2, 1, 0, 2, 88.7, -22
Groundout, 2, 2, 0, 0, 84.5, -30
Groundout, 0, 1, 0, 0, 96.9, -2
Strikeout, 2, 2, 0, 1, None, None
Sac Bunt, 0, 0, 0, 0, 27.1, 31
Single, 0, 1, 0, 0, 93.1, 5
Lineout, 1, 0, 0, 0, 87.4, 25
Lineout, 2, 0, 0, 1, 90.9, 8
Groundout, 0, 1, 0, 0, 88.2, -9
Lineout, 0, 0, 0, 1, 94.4, 19
Walk, 4, 1, 0, 0, None, None
Double, 2, 1, 0, 0, 93.5, 13
Groundout, 0, 1, 0, 0, 92.0, -13
Lineout, 1, 0, 0, 1, 95.6, 5
Walk, 4, 1, 0, 0, None, None
Flyout, 1, 1, 0, 0, 79.7, 35
Single, 1, 2, 0, 1, 85.9, -44
Groundout, 0, 1, 0, 0, 91.0, 1
Lineout, 2, 1, 0, 0, 98.5, 14
Single, 1, 2, 0, 0, 83.9, 13
Flyout, 0, 1, 0, 0, 83.4, 31
Single, 0, 0, 0, 0, 37.3, -36
Double Play, 0, 0, 0, 0, 91.8, 8
Forceout, 1, 1, 0, 0, 63.0, 1
Strikeout, 0, 1, 1, 1, None, None
Strikeout, 1, 2, 1, 0, None, None
Single, 2, 0, 0, 1, 84.2, 15
Strikeout, 2, 1, 2, 1, None, None
Strikeout, 1, 1, 1, 2, None, None
Lineout, 0, 1, 0, 0, 92.2, 8
Single, 0, 0, 0, 0, 78.3, 19
Single, 0, 1, 0, 0, 89.3, 17
Double, 1, 1, 0, 0, 72.4, 21
Lineout, 2, 0, 0, 1, 95.2, 16
Pop Out, 0, 0, 0, 1, 70.7, 76
Single, 2, 1, 0, 1, 100.6, 10
Groundout, 3, 1, 0, 1, 44.7, -48
Flyout, 1, 1, 0, 0, 84.1, 40
Lineout, 1, 1, 0, 0, 86.4, 25
Flyout, 0, 1, 0, 0, 75.2, 42
Single, 1, 0, 1, 0, 54.2, -35
Strikeout, 1, 1, 1, 1, None, None
Single, 0, 2, 0, 0, 76.5, 3
Groundout, 0, 1, 0, 0, 52.1, -64
Flyout, 3, 2, 0, 0, 83.1, 34
Pop Out, 2, 1, 0, 0, 67.0, 44
Lineout, 1, 0, 0, 0, 80.1, 30
Groundout, 0, 0, 0, 1, 66.5, None
Strikeout, 2, 1, 1, 2, None, None
Flyout, 1, 1, 0, 0, 80.9, 39
Strikeout, 2, 1, 1, 2, None, None
Pop Out, 0, 0, 0, 0, 77.1, 67
Lineout, 1, 1, 0, 0, 81.3, 8
Pop Out, 2, 1, 0, 0, 72.0, 80
Groundout, 1, 1, 0, 1, 98.0, -26
Groundout, 2, 1, 1, 0, 63.9, 6
Forceout, 1, 1, 0, 0, 91.0, -8
Groundout, 1, 1, 0, 0, 74.4, 6
Groundout, 1, 1, 0, 0, 55.6, -56
Groundout, 1, 1, 0, 2, 88.9, -22
Triple, 1, 0, 0, 0, 93.5, 18
Groundout, 3, 2, 0, 0, 101.2, -8
Forceout, 1, 1, 0, 0, 84.3, 18
Groundout, 3, 2, 0, 1, 78.8, -70
Strikeout, 0, 1, 1, 2, None, None
Fielders Choice, 0, 0, 0, 0, 68.2, -26
Single, 2, 1, 0, 2, 96.7, 9
Pop Out, 0, 1, 0, 0, 72.2, 65
Strikeout, 1, 3, 0, 0, None, None
Pop Out, 3, 1, 0, 0, 77.8, 60
