Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Groundout, 0, 1, 0, 0, 94.8, -14
Walk, 4, 0, 1, 2, None, None
Strikeout, 1, 1, 2, 0, None, None
Groundout, 0, 0, 0, 0, 73.0, -20
Strikeout, 3, 3, 0, 0, None, None
Flyout, 3, 0, 0, 2, 95.0, 33
Strikeout, 1, 1, 1, 1, None, None
Groundout, 0, 0, 0, 0, 104.9, -5
Forceout, 2, 0, 0, 0, 71.4, 4
Flyout, 1, 0, 0, 0, 80.6, 33
Bunt Groundout, 3, 1, 0, 0, None, None
Strikeout, 2, 1, 2, 0, None, None
Strikeout, 1, 3, 0, 0, None, None
Double, 0, 0, 1, 0, 56.9, 18
Single, 0, 0, 0, 0, 77.2, -11
Groundout, 1, 1, 0, 1, None, None
Single, 2, 1, 0, 0, 92.1, 10
Strikeout, 3, 2, 0, 1, None, None
Field Error, 2, 0, 1, 1, 103.2, -18
Groundout, 0, 0, 0, 0, 80.2, -27
Flyout, 2, 1, 1, 1, 94.2, 42
Walk, 4, 0, 0, 0, None, None
Strikeout, 0, 0, 1, 2, None, None
Groundout, 1, 0, 0, 0, 80.1, -21
Flyout, 0, 1, 0, 0, 100.6, 22
Groundout, 0, 1, 1, 0, 75.6, 4
Groundout, 0, 0, 0, 0, 106.9, -13
Strikeout, 1, 1, 2, 1, None, None
Flyout, 0, 0, 0, 0, 90.0, 31
Strikeout, 1, 2, 1, 3, None, None
Double, 2, 0, 0, 0, 101.0, 32
Single, 1, 0, 0, 0, 104.7, 8
Single, 3, 1, 0, 0, 86.9, 17
Strikeout, 1, 2, 0, 1, None, None
Lineout, 2, 0, 1, 0, 99.0, 7
Strikeout, 1, 0, 3, 0, None, None
Triple, 2, 1, 0, 0, 105.5, 18
Strikeout, 0, 1, 1, 1, None, None
Groundout, 0, 0, 0, 0, 94.3, -13
Pop Out, 0, 0, 0, 1, None, None
Home Run, 3, 0, 0, 2, 97.9, 23
Strikeout, 1, 2, 1, 2, None, None
Strikeout, 3, 2, 0, 2, None, None
Sac Bunt, 1, 0, 0, 0, None, None
Forceout, 1, 0, 0, 0, 88.6, None
Single, 1, 1, 0, 0, 36.6, -49
Strikeout, 2, 1, 1, 1, None, None
